Target_User_ID,Intruder_Type,Success_Rate,Sample_Count
1,combined,0.15,40
1,movement,0.26666666666666666,90
1,physical,0.05555555555555555,90
2,combined,0.0,50
2,movement,0.0,100
2,physical,0.0,100
8,combined,0.0,50
8,movement,0.0,90
8,physical,0.0,90
9,combined,0.0,50
9,movement,0.0,90
9,physical,0.0,90
10,combined,0.14,50
10,movement,0.03,100
10,physical,0.16,100
11,combined,0.0,50
11,movement,0.04,100
11,physical,0.0,100
12,combined,0.15,40
12,movement,0.03333333333333333,90
12,physical,0.7111111111111111,90
13,combined,0.0,50
13,movement,0.0,100
13,physical,0.0,100
14,combined,0.0,50
14,movement,0.0,90
14,physical,0.0,90
15,combined,0.0,50
15,movement,0.0,90
15,physical,0.03333333333333333,90
16,combined,0.0,50
16,movement,0.0,100
16,physical,0.0,100
17,combined,0.0,50
17,movement,0.0,100
17,physical,0.0,100
23,combined,0.0,50
23,movement,0.0,90
23,physical,0.0,90
24,combined,0.0,50
24,movement,0.0,100
24,physical,0.0,100
25,combined,0.025,40
25,movement,0.17777777777777778,90
25,physical,0.9444444444444444,90
26,combined,0.0,50
26,movement,0.0,100
26,physical,0.0,100
27,combined,0.0,50
27,movement,0.0,90
27,physical,0.0,90
28,combined,0.0,40
28,movement,0.0,90
28,physical,0.0,90
29,combined,0.0,50
29,movement,0.0,90
29,physical,0.0,90
